closed_at,symbol,side,analyst,outcome,posted_entry,posted_stop,entry_price,entry_matches_posted,exit_price,exit_reached,move_pct,r_multiple,trade_id,signal_id,stop_used,follower_r,follower_move_pct,cost_r,entry_bps,exit_bps
"2026-08-19T19:51:00Z","HYPEUSDT","LONG","Thmassz","win",,"54147","57.32","false","69.78","CLOSE","21.74","3.93","89ff2f25-d403-4fb7-9953-f887d702329e","AXN-2026-08-15-00265","54.147","3.9","21.57","0.03","7.5","7.5"
"2026-08-19T19:36:23.433000Z","AVAXUSDT","LONG","gaijin","win","6.303","6","6.303","true","6.54","CLOSE","3.76","0.78","4544f325-b6a4-4948-8be1-667c064cdf8d","AXN-2026-08-19-00283","6","0.76","3.66","0.02","2","7.5"
"2026-08-19T19:33:00Z","ARBUSDT","LONG","gaijin","win","0.075","0.069","0.075","true","0.08326","CLOSE","11.01","1.38","00ba0c36-a5a2-4807-ae30-cf36b9ba32a4","AXN-2026-08-18-00279","0.069","1.37","10.91","0.01","2","7.5"
"2026-08-19T19:05:59.999000Z","ETHUSDT","SHORT","gaijin","loss","2085.2","2095.5","2085.2","true","2095.5","SL","-0.49","-1","8d8555d6-c4da-41c5-81a7-333d33475709","AXN-2026-08-19-00284","2095.5","-1.25","-0.62","0.25","2","10.5"
"2026-08-19T15:59:59.999000Z","BNBUSDT","SHORT","gaijin","loss",,"606","601.7","false","606","SL","-0.71","-1","233907f9-cf81-4f26-a546-004216780724","AXN-2026-08-18-00275","606","-1.25","-0.89","0.25","7.5","10.5"
"2026-08-19T15:59:59.999000Z","BTCUSDT","SHORT","gaijin","loss",,"65800","64775.4","false","65800","SL","-1.58","-1","dd51e7c2-dc8e-4a75-aa7f-e7b344d0c10c","AXN-2026-08-18-00277","65800","-1.11","-1.76","0.11","7.5","10.5"
"2026-08-19T15:59:59.999000Z","UNIUSDT","SHORT","SaltWayer","loss",,"3.434","3.28","false","3.434","SL","-4.7","-1","e03cfadd-ddd4-4dc4-89d9-734ec2f128b9","AXN-2026-08-17-00270","3.434","-1.04","-4.88","0.04","7.5","10.5"
"2026-08-19T15:59:59.999000Z","PROMPTUSDT","SHORT","Electron","loss","0.02095","0.02197","0.02132","false","0.02197","SL","-3.06","-1","9d1c08c7-5f1d-49c2-89e6-ccad124f4828","AXN-2026-08-19-00282","0.02197","-1.04","-3.19","0.04","2","10.5"
"2026-08-19T15:31:20.943000Z","OPNUSDT","LONG","Electron","win","0.0569","0.05246","0.05561","false","0.0564","CLOSE","1.42","0.25","4e27d1e5-8bb8-4b62-a593-bfcedd046c14","AXN-2026-08-18-00280","0.05246","0.23","1.32","0.02","2","7.5"
"2026-08-19T15:27:33.734000Z","DOTUSDT","SHORT","Electron","win",,"0.8219","0.7858","false","0.7388","PARTIAL","5.98","1.3","49beec4f-4c86-4989-bd52-519c7d6b3232","AXN-2026-08-12-00253","0.8219","1.27","5.83","0.03","7.5","7.5"
"2026-08-19T15:26:29.483000Z","BTCUSDT","LONG","D3LTA","win",,"60970","62212.2","false","67400","TP1","8.34","4.18","c43dda17-d399-4989-94ab-a1d5d55b2705","AXN-2026-07-08-00141","60970","4.13","8.24","0.05","7.5","2"
"2026-08-19T15:14:00Z","DOTUSDT","LONG","gaijin","win",,"0.75","0.7653","false","0.7779","CLOSE","1.65","0.82","bcae96e2-bd0f-4644-b199-237f1c06b005","AXN-2026-08-15-00264","0.75","0.74","1.5","0.08","7.5","7.5"
"2026-08-18T02:12:14.727000Z","TIAUSDT","LONG","gaijin","win","0.2993","0.282","0.2993","true","0.3027","TP1","1.14","0.2","f03de002-59d6-4cfb-84d6-f494aa15edf7","AXN-2026-08-17-00272","0.282","0.19","1.1","0.01","2","2"
"2026-08-18T01:09:59.999000Z","ONTUSDT","SHORT","Pipfessor","win",,"0.0399","0.03783","false","0.0368","TP1","2.72","0.5","0268ff1b-306d-4777-a0d2-c41ff6ec14ef","AXN-2026-08-17-00274","0.0399","0.48","2.63","0.02","7.5","2"
"2026-08-17T14:58:59.999000Z","ONDSUSDT","LONG","Electron","breakeven",,"8.61","9.046","false","9.045554362936123","BE","0","0","96543876-5c3f-42df-9928-70ffa7ff6c7b","AXN-2026-08-16-00266","8.61","-0.04","-0.18","0.04","7.5","10.5"
"2026-08-17T13:37:57Z","BASUSDT","LONG","Pipfessor","breakeven",,"0.02518","0.027281","false","0.027281","BE","0","0","83278d62-31ca-43a4-95fd-bc161e775ea4","AXN-2026-08-17-00271","0.02518","-0.02","-0.18","0.02","7.5","10.5"
"2026-08-17T08:16:37.954000Z","DEXEUSDT","SHORT","Pipfessor","loss",,"1.931","1.895","false","1.91","CLOSE","-0.77","-0.41","99eaf871-8645-4522-a688-eb63e296abfb","AXN-2026-08-17-00269","1.931","-0.49","-0.92","0.08","7.5","7.5"
"2026-08-16T01:39:59.999000Z","ARPAUSDT","SHORT","Electron","breakeven",,"0.008747","0.008502","false","0.008501872584105216","BE","0","0","5a788da8-c522-47b7-a62d-1b7ed456a404","AXN-2026-08-14-00262","0.008747","-0.06","-0.18","0.06","7.5","10.5"
"2026-08-16T01:29:59.999000Z","WIFUSDT","LONG","gaijin","win","0.1361","0.13","0.1355","false","0.1397","TP2","3.1","0.76","bb5cac2d-d9ae-4db8-9e36-6b255dcdf042","AXN-2026-08-13-00260","0.13","0.75","3.06","0.01","2","2"
"2026-08-15T23:59:59.999000Z","BEATUSDT","LONG","gaijin","win",,"0.4","1.092","false","1.211","PARTIAL","10.9","0.17","85a6e097-e114-41d1-9a1a-a02d3a90d070","AXN-2026-08-11-00249","0.4","0.17","10.74","0","7.5","7.5"
"2026-08-14T20:49:59.999000Z","NEARUSDT","SHORT","Bitcoin Wizard","win",,"1.82","1.632","false","1.602","PARTIAL","1.84","0.16","3fc367a5-0ef7-4bff-a50b-be733adf740d","AXN-2026-08-12-00254","1.82","0.15","1.69","0.01","7.5","7.5"
"2026-08-14T14:05:29.858000Z","FARTCOINUSDT","LONG","Thmassz","win",,"0.1267","0.13587","false","0.1436","TP1","5.69","0.84","67efb4d5-a8a0-4f67-beb6-348e8bd01112","AXN-2026-08-09-00237","0.1267","0.83","5.59","0.01","7.5","2"
"2026-08-14T05:23:41.874000Z","ETHUSDT","LONG","gaijin","win",,"1861","1880.25","false","1892","TP1","0.62","0.61","97885f24-22bb-4a70-8b84-c30592d2018c","AXN-2026-08-13-00259","1861","0.52","0.52","0.09","7.5","2"
"2026-08-13T22:27:30.023000Z","COTIUSDT","LONG","Electron","win","0.011115","0.009767","0.011115","true","0.012601","PARTIAL","13.37","1.1","66532b9c-2094-41e3-bf99-d2129d2afd23","AXN-2026-08-12-00257","0.009767","1.09","13.26","0.01","2","7.5"
"2026-08-13T05:53:59.999000Z","PEOPLEUSDT","SHORT","SaltWayer","win",,"0.008575","0.008213","false","0.00793","TP1","3.45","0.78","86fde527-42a4-458a-8d77-c48956354c8d","AXN-2026-08-12-00251","0.008575","0.76","3.36","0.02","7.5","2"
"2026-08-12T11:59:59.999000Z","TUTUSDT","SHORT","SaltWayer","loss","0.0643","0.06762","0.064519","false","0.06762","SL","-4.81","-1","93a7f662-df9b-4b85-b425-e651768fba63","AXN-2026-08-12-00252","0.06762","-1.03","-4.94","0.03","2","10.5"
"2026-08-12T01:05:53.613000Z","BANANAS31USDT","LONG","Electron","win","0.009257","0.008364","0.009257","true","0.009941","PARTIAL","7.39","0.77","0a0e7af6-0c1c-453f-befd-893a397712eb","AXN-2026-08-11-00247","0.008364","0.76","7.29","0.01","2","7.5"
"2026-08-11T18:33:59.999000Z","ICPUSDT","LONG","Pipfessor","win",,"2.06","2.215","false","2.32","TP1","4.74","0.68","0d5a426d-dad7-451b-928e-cdd799f1535f","AXN-2026-08-10-00243","2.06","0.67","4.64","0.01","7.5","2"
"2026-08-11T15:38:59.999000Z","MANTRAUSDT","SHORT","Pipfessor","win",,"0.005825","0.005574","false","0.005315","TP2","4.65","1.03","3a73582d-b32f-4660-b1ad-490461d16ad0","AXN-2026-08-10-00242","0.005825","1.01","4.56","0.02","7.5","2"
"2026-08-11T14:50:21.933000Z","AVAXUSDT","LONG","Thmassz","loss",,"6332","6.718","false","6.332","SL","-5.75","-1","712ac94b-8d5d-4b16-abac-9cbbbe0474ea","AXN-2026-08-04-00218","6.332","-1.03","-5.92","0.03","7.5","10.5"
"2026-08-11T12:46:59.999000Z","ADAUSDT","SHORT","gaijin","win",,"0.21","0.2082","false","0.1868","TP2","10.28","11.89","5f1571fb-350e-4cd3-b1e0-5afa81c04b1b","AXN-2026-08-06-00227","0.21","11.78","10.19","0.11","7.5","2"
"2026-08-11T07:06:20.774000Z","RVNUSDT","SHORT","D3LTA","win",,"0.00386","0.003603","false","0.00284","TP1","21.18","2.97","2a61ca98-4b3a-468f-9664-d84995212e54","AXN-2026-07-31-00204","0.00386","2.96","21.09","0.01","7.5","2"
"2026-08-10T21:46:59.999000Z","ETHFIUSDT","SHORT","Electron","breakeven","0.3763","0.415","0.3763","true","0.3763","BE","0","0","690430a2-1de9-4309-b13f-1b2d0dc00101","AXN-2026-08-06-00226","0.415","-0.01","-0.13","0.01","2","10.5"
"2026-08-10T17:33:59.999000Z","LITUSDT","SHORT","Thmassz","loss",,"2.4042","2.278","false","2.4042","SL","-5.54","-1","2d0f6acf-8553-4993-be22-5962dc27f3ad","AXN-2026-08-08-00235","2.4042","-1.03","-5.73","0.03","7.5","10.5"
"2026-08-10T16:24:59.999000Z","BEATUSDT","LONG","SaltWayer","breakeven",,"1.89","2.0853","false","2.0853","BE","0","0","0667c990-9937-4d7b-aba5-06f0a57d05ba","AXN-2026-08-10-00245","1.89","-0.02","-0.18","0.02","7.5","10.5"
"2026-08-10T14:59:00Z","TIAUSDT","LONG","D3LTA","loss","0.335","0.314","0.3285","false","0.3255","CLOSE","-0.92","-0.21","2448eee4-c2d7-4c92-8b4b-c3460fe43d33","AXN-2026-08-03-00212","0.314","-0.23","-1.01","0.02","2","7.5"
"2026-08-10T12:14:59.999000Z","VELODROMEUSDT","LONG","Bitcoin Wizard","win",,"0.01616","0.017976","false","0.024","TP3","33.51","3.32","d3956d7d-c824-47d9-9044-df71781a180e","AXN-2026-08-07-00234","0.01616","3.31","33.41","0.01","7.5","2"
"2026-08-10T10:00:59.999000Z","TUTUSDT","SHORT","SaltWayer","win",,"0.1607","0.149366","false","0.14447","TP1","3.28","0.43","a1661dfc-f108-4581-a1ab-bc6da003939a","AXN-2026-08-10-00241","0.1607","0.42","3.19","0.01","7.5","2"
"2026-08-09T17:49:23.171000Z","BEATUSDT","SHORT","gaijin","loss",,"3.676","3.4641","false","3.676","SL","-6.12","-1","0e62179e-5d38-472c-bc4d-7e18e556230c","AXN-2026-08-09-00238","3.676","-1.03","-6.31","0.03","7.5","10.5"
"2026-08-09T13:59:59.999000Z","BTCUSDT","SHORT","gaijin","loss",,"65060","64935.7","false","65060","SL","-0.19","-1","8f4a5c78-88a6-4f1e-bff0-3e8f1dd430cd","AXN-2026-08-07-00233","65060","-1.94","-0.37","0.94","7.5","10.5"
"2026-08-09T11:38:59.999000Z","HYPEUSDT","LONG","D3LTA","win",,"51.09","54.27","false","54.999","PARTIAL","1.35","0.23","f076bf2e-cb52-4820-a219-f0c23a991737","AXN-2026-08-07-00232","51.09","0.2","1.2","0.03","7.5","7.5"
"2026-08-07T17:30:59.999000Z","CRVUSDT","LONG","Bitcoin Wizard","win",,"0.196","0.2111","false","0.2194","TP1","3.93","0.55","b968f551-5f0b-458a-be3f-97013e40bd97","AXN-2026-08-06-00225","0.196","0.54","3.83","0.01","7.5","2"
"2026-08-06T15:59:59.999000Z","VELODROMEUSDT","SHORT","Electron","loss",,"0.01826","0.016618","false","0.01826","SL","-9.88","-1","5a0043b8-9fa1-4d5e-92f9-f5232ec154fe","AXN-2026-08-03-00210","0.01826","-1.02","-10.07","0.02","7.5","10.5"
"2026-08-06T10:16:59.999000Z","HYPEUSDT","LONG","Belovy","win",,"48","55.47","false","57.558","PARTIAL","3.76","0.28","019dba70-2e1c-44cf-807d-0743d2996e04","AXN-2026-08-05-00219","48","0.27","3.61","0.01","7.5","7.5"
"2026-08-06T09:16:52.357000Z","ONDOUSDT","LONG","Bitcoin Wizard","loss",,"0.3585","0.3827","false","0.3699","CLOSE","-3.34","-0.53","5e8e6790-cbbe-4491-b2c8-b120ceda6757","AXN-2026-08-05-00221","0.3585","-0.55","-3.49","0.02","7.5","7.5"
